遭難・危険に注意せよ。活動力強、波瀾多し、孤独苦労、妻子・親族縁薄し、傷害災厄運。,夫に別れ、子縁薄し、一家離散。
多芸多才、器用貧乏。意志弱し、主体性に欠く。１つの点に専念すること。,頭がキレルガ、疑い深し。
袋小路で迷うだけ。一生明るみに出ず、災厄苦労病弱など不遇。,知性あるが行動勇気なし、良縁のがす。
男は旭日昇天。位人臣を極める、旭日昇天型、権力名声、財産運あれどおごり禁物。,苦労あっても必ず良縁、再婚可。
男は頭領、女は職業婦人。一歩一歩確実に地位名誉を得る、人の上位に立つが浮気者。,悩み多いが、晩年良い家庭。
地位・名誉・富、一生幸福。１に戻るラッキーナンバー、地位名誉富に恵まれ一生幸福。,ノイローゼなりやすし、家庭不和生す。
天下に名を成す大業運。自信・野心人一倍、大志大業運、剛気果断で敵をつくりやすし。,孤独、病弱、努力報われぬ。
天馬空を行く頭領運。財力・権力・徳望あり。順調成功、トントン拍子、トップに立ち長命。,親族と仲たがいしやすし、謙譲が大切。
努力の結果、志望貫徹する。忍耐鉄石型、根の良い野心家、末広がり発展、粘り強く執着力あり。,家庭内不和、夫の愛情を信じるが活路。
努力家だがツキのない人生。病弱、孤独、短命の災い運、こつこつ努力すれど力伴わずツキなし。,子宝にも恵まれ、子孫も繁栄。
冬来たりなば春遠からじ。春の恵みに名声財運を得る、災厄にあうが立ちなおれる。,一家離散、悲運に傾きやすし。
動くに動けずホールドアップ。進退極まり孤立困苦、特に晩年悪し。じっと忍耐活路求めよ。,良縁を得て家内取仕切り、余慶あり。
難破に注意、病身波乱。苦労して築いた地位財産も海のもくず、波瀾多し、マレに大成功。,家庭内もめごと避けよ、色情注意。
波乱の多い風雲児。乱世の英雄型。風雲に乗じ一時極盛あるも、浮沈多く向こうみず。,良縁に恵まれる、我を張らねば文句なし。
波瀾多く、吉凶極端。意志力強、活動的、波瀾多し、英雄型、家族運簿く人徳少し。,良妻賢母、家庭明るく健全。
八方は皆敵、取柄は体。逆境不信、苦しみ悲しみ絶えぬ、体だけは丈夫、これが活路。,家庭内不幸、悲運に苦しむ。
表面は派手、内面は火の車。散財型、家庭・財運ともに簿い、しおれ型、セックスで身を誤る。,家庭内不幸、悲運に苦しむ。
病弱・災難、家庭に不遇。病弱災難つきまとう、家庭不遇、離別や身を滅ぼすこと多し。,もう一歩で良縁逃すことあり、平穏。
風にそよぐ葦のよう。分離、不安、動揺、生別、死別、苦大。意思弱く補佐役。和合がコツ。,地味に生きよ、晩年苦労多し。
変化を好む成功数。１～９の中央数、トントン拍子、福運長生運、移り気、外柔内剛、健康。,賢夫人、内助の功発揮、切盛り良し。
無から有を生ず、成功繁栄。金に恵まれ異性にも、人格金にまつわる犯罪、金による争い事警戒。,仁徳をつみ災厄を避けよ、一生不遇。
霧にうたれる草のよう。霜に会う秋草、中年以降運気悪し、派手・虚飾に憧れるが困難にくじける。,良妻堅実な奥様。
名実共にラッキーナンバー。実力No1、健全成功、技芸、実業どの方面でも大成、ボスとなる。,家庭不和、夫運悪し、家内ばらばら。
名声・財力、わが世の春。我が世の春を謳歌、名声・財力に恵まれる、天恵あり、努力結実。,再婚するも屈せす、努力で幸せ。
名刀も使いよう。知力と努力で名声を得るが、非難不和多し。自我を慎め、村正の妖刀。,目上援助あり、再婚多子縁薄し。
陽の目を見ない縁の下の土。一生陽を見ず、災厄苦悩に悩み孤独、空虚、暗黒、他人の教えを聞け。,家庭不和となるも、体力がとりえ。
良しも悪しきも二人連れ。吉凶盛衰あり、良ければ大成功悪ければ大失敗、やけにならず身をつつしめ。,他人を羨み不満絶えず、分を守れ。
冷たい街に散る花。衰退、病弱、不和、失意の人生、他のラツキーナンバーや配偶者の良運でカバー要す。,良縁に恵まれ家庭を守る。
